Name	Description	Occupation skill points	Min Credit	Max Credit	Skills	Type
Boxer/Wrestler	"Professional boxers and wrestlers are managed by indi-
viduals (promoters) possibly backed by outside interests,

and usually locked into contracts. Professional boxers and
wrestlers work and train full-time.
Amateur boxing competitions abound, a training

ground for those aspiring to professional status. In addi-
tion, amateur and post-professional boxers and wrestlers

can sometimes be found making a living from illegal
bare-knuckle fights, usually arranged by organized crime
gangs or entrepreneurial locals."	EDU × 2 + STR × 2	9	60	"Dodge, Fighting (Brawl), Intimidate, Jump,
Psychology, Spot Hidden, any two other skills as
personal or era specialties."	Standard
Butler/Valet/Maid	"This occupation covers those who

are employed in a servant capac-
ity and includes butler, valet,

and lady’s maid.
A butler is usually employed
as a domestic servant for a large
household. Traditionally the butler
is charge of the dining room, wine
cellar and pantry, and ranks as the
highest male servant. Usually male—a
housekeeper would be the female
equivalent—the butler is responsible
for male servants within the household.
The duties of the butler will vary to
according to the requirements of his
employer.

A valet or lady’s maid pro-
vides personal services, such

as maintaining her employer's
clothes, running baths, and
effectively acting as a personal assistant. The work might include making travel arrange-
ments, managing their employer’s diary, and organizing

household finances."	EDU × 4	9	40	"Accounting or Appraise, Art/Craft (any, e.g. Cook,
Tailor, Barber), First Aid, Listen, Other Language,
Psychology, Spot Hidden, any two other skills as
personal or era specialties."	Standard
Clergy	"The hierarchy of the Church usually assigns clergy to their
respective parishes or sends them on evangelical missions,

most often to a foreign country (see Missionary). Differ-
ent churches have different priorities and hierarchies: for

example, in the Catholic Church a priest may rise through

the ranks of bishop, archbishop, and cardinal, while a Meth-
odist pastor may in turn rise to district superintendent and

bishop.
Many clergy (not just Catholic priests) bear witness to
confessions and, though they are not at liberty to divulge
such secrets, they are free to act upon them.
Some who work in the church are trained in professional

skills, acting as doctors, lawyers, and scholars—as appropri-
ate, use the occupation template which best describes the

nature of the investigator’s work."	EDU × 4	9	60	"Accounting, History, Library Use, Listen, Other
Language, one interpersonal skill (Charm,
Fast Talk, Intimidate, or Persuade),
Psychology, any one other skill."	Standard
"Computer Programmer/
Technician"	"Usually designing, writing, testing,
debugging, and/or maintaining the
source code of computer programs,
the computer programmer is an expert
in many different subjects, including
formal logic and application platforms.

May work freelance or within the con-
fines of a software development house.

The computer technician is tasked

with the development and main-
tenance of computer systems and

networks, often working alongside other office staff (such
as project managers) to ensure systems maintain integrity
and provide desired functionality. Similar occupations
may include: Database Administrator, IT Systems Manager,
Multimedia Developer, Network Administrator, Software
Engineer, Webmaster, etc.
The computer hacker uses computers and computer
networks as a means of protest to promote political ends
(sometimes referred to as ""hacktivists"") or for criminal gain.
Illegally breaking into computers and other user accounts
is required, the outcome of which could be anything from
defacing web pages, doxing, and swatting to email bombing
designed to enact denials of service."	EDU × 4	10	70	"Computer Use, Electrical Repair, Electronics, Li-
brary Use, Science (Mathematics), Spot Hidden, any

two other skills as personal or era specialties."	Modern
Hacker	"Usually designing, writing, testing,
debugging, and/or maintaining the
source code of computer programs,
the computer programmer is an expert
in many different subjects, including
formal logic and application platforms.

May work freelance or within the con-
fines of a software development house.

The computer technician is tasked

with the development and main-
tenance of computer systems and

networks, often working alongside other office staff (such
as project managers) to ensure systems maintain integrity
and provide desired functionality. Similar occupations
may include: Database Administrator, IT Systems Manager,
Multimedia Developer, Network Administrator, Software
Engineer, Webmaster, etc.
The computer hacker uses computers and computer
networks as a means of protest to promote political ends
(sometimes referred to as ""hacktivists"") or for criminal gain.
Illegally breaking into computers and other user accounts
is required, the outcome of which could be anything from
defacing web pages, doxing, and swatting to email bombing
designed to enact denials of service."	EDU × 4	10	70	"Computer Use, Electrical Repair, Electronics,
Library Use, Spot Hidden, one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), any two
other skills."	Modern
Cowboy/girl	"Cowboys work the ranges and ranches of the West.
Some own their own ranches, however many are
simply hired where and when work is available.
Good money can also be made by those
willing to risk life and limb on the rodeo
circuit, travelling between events for fame
and glory.

During the 1920s, a few found em-
ployment in Hollywood as stuntmen

and extras in westerns; for example, Wy-
att Earp worked as a technical advisor

to the film industry. In modern times
some ranches have opened their gates

to holidaymakers wishing to experi-
ence life as a cowboy."	"EDU × 2 +
(DEX × 2 or STR × 2)"	9	20	"Dodge, Fighting or Firearms, First Aid or Natural
World, Jump, Ride, Survival (any), Throw, Track."	Standard
Craftsperson	"May be equally termed an artisan or master craftsperson.

The craftsperson is essentially skilled in the manual produc-
tion of items or materials. Normally quite talented individ-
uals, some gaining a high reputation for works of art, while

others provide a needed community service.
Possible trades include: furniture, jewelry, watchmaker,
potter, blacksmith, textiles, calligraphy, sewing, carpentry,
book binding glassblowing, toy maker, stained glass, and
so on."	EDU × 2 + DEX × 2	10	40	"Accounting, Art/Craft (any two), Mechanical
Repair, Natural World, Spot Hidden, any two other
skills as personal specialties."	Standard
Assassin	"Hit men are the cold-blooded killers of the underworld.
Usually hired from somewhere out of town, they arrive,
do their work, then quickly disappear. It’s strictly business.
Often sociopaths, who seem to lack the ability to empathize

with other human beings. Many follow strict codes of be-
havior. In spite of this, many marry, raise children, and in all

other ways behave like model citizens."	EDU × 2 + (DEX × 2 or STR × 2)	30	60	"Disguise, Electrical Repair, Fighting, Firearms,
Locksmith, Mechanical Repair, Stealth, Psychology."	Criminal
Bank Robber		EDU × 2 + (STR × 2 or DEX × 2)	5	75	"Drive Auto, Electrical or Mechanical Repair,
Fighting, Firearms, Intimidate, Locksmith, Operate
Heavy Machinery, any one other skill as personal or
era specialty."	Criminal
Bootlegger/Thug	"Whether bootleggers, corner-boys, or thugs, these are the
soldiers of organized crime. They are supported by criminal
organizations and they are the ones usually expected to
take the fall for the gangsters above them. Their silence and
loyalty is expected and rewarded."	EDU × 2 + STR × 2	5	30	"Drive Auto, Fighting, Firearms, two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, Stealth, Spot Hidden."	Criminal
Burglar	"Confidence tricksters are usually smooth talkers. Work-
ing alone or in a team, they descend on wealthy individuals

or communities, fleecing their targets of their hard-earned
savings. Some schemes are elaborate, involving teams of
scam men and rented buildings; others are simple affairs,
transactions requiring only one con man and no more than
a few minutes."	EDU × 2 + DEX × 2	5	40	"Appraise, Climb, Electrical or Mechanical Repair,
Listen, Locksmith, Sleight of Hand, Stealth, Spot
Hidden."	Criminal
Conman		EDU × 2 + APP × 2	10	65	"Appraise, Art/Craft (Acting), Law or Other
Language, Listen, two interpersonal skills (Charm,
Fast Talk, Intimidate, or Persuade), Psychology,
Sleight of Hand."	Criminal
Criminal (freelance/solo)		EDU × 2 + (DEX × 2 or APP × 2)	5	65	"Art/Craft (Acting) or Disguise, Appraise, one in-
terpersonal skill (Charm, Fast Talk, or Intimidate),

Fighting or Firearms, Locksmith or Mechanical
Repair, Stealth, Psychology, Spot Hidden."	Criminal
Gun Moll	"A female professional criminal. While many are fiercely
independent, some are at the beck and call
of mobster boyfriends—however, in
reality this could easily be the other
way around, with the moll working
her boyfriend for all she can before
skedaddling with all the cash and
furs she can carry."	EDU × 2 + APP × 2	10	80	"Art/Craft (any), two interpersonal
skills (Charm, Fast Talk, Intimidate, or

Persuade), Fighting (Brawl) or Fire-
arms (Handgun), Drive Auto,

Listen, Stealth, any one other
skill as personal or era specialty."	Criminal
Fence	"A fence is someone who trades in stolen property, usu-
ally taking in stolen goods and then selling them onto other

criminals or (unwitting) legitimate customers. Principally
a middleman between thieves and buyers, the fence either

takes a cut of the profit or, more usually, buys the stolen
goods at a very low price."	EDU × 2 + APP× 2	20	40	"Accounting, Appraise, Art/Craft (Forgery),
History, one interpersonal skill (Charm, Fast Talk,
Intimidate, or Persuade), Library Use, Spot Hidden,
any one other skill."	Criminal
Forger/Counterfeiter	"Forgers are the artists of the criminal world, specializ-
ing in forging official documents, deeds and transfers, and

providing phony signatures. Beginners work manufacturing
fake ID's for petty criminals, while the best engrave plates
for counterfeiting currency."	EDU × 4	20	60	"Accounting, Appraise, Art/Craft (Forgery), His-
tory, Library Use, Spot Hidden, Sleight of Hand,

any one other skill as personal or era specialty (e.g.
Computer Use)."	Criminal
Smuggler	"Smuggling is always a lucrative and high-risk business.
The smuggler usually has a public profession, such as boat
captain, pilot, or businessman, allowing them to transport
illicit products to a needy market."	EDU × 2 + (APP × 2 or DEX × 2)	20	60	"Firearms, Listen, Navigate, one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), Drive
Auto or Pilot (Aircraft or Boat), Psychology, Sleight
of Hand, Spot Hidden."	Criminal
Street Punk	"Street punks are typically young street hoods, possibly

looking for a chance to hook-up with real gangsters. Ex-
perience is probably limited to stealing cars, shoplifting,

mugging, and burglary."	EDU × 2 + (DEX × 2 or STR × 2)	3	10	"Climb, one interpersonal skill
(Charm, Fast Talk, Intimidate, or
Persuade), Fighting, Firearms, Jump,
Sleight of Hand, Stealth, Throw."	Criminal
Cult Leader	"America has always generated new
religions, from the New England
Transcendentalists to the Children of
God, as well as many others, right up
to modern times. The leader is either a
firm believer in the dogma they impart

Bootleggers have to
protect their
livelihoods

77

chapter 4: occupations

to the cult’s members or simply in it for the money
and power.

During the 1920s, any number of char-
ismatic cult leaders emerge. Some espouse

forms of Christianity while others incor-
porate Eastern mysticism and occult

practices. These groups are particu-
larly familiar to America’s West Coast

but are found all around the country
in different forms. The southern Bible
Belt supports many traveling tent shows

featuring song, dance, and gospel reviv-
al. Other countries also see such fringe

religions springing up wherever there are
those in need of something to believe in."	EDU x 2 + APP x 2	30	60	"Accounting, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Occult, Psychology,
Spot Hidden, any two other skills as specialties."	Standard
Deprogrammer	"Deprogramming is the act of persuading (or forcing) a
person to abandon their belief or allegiance to a religious
or social community. Normally, the deprogrammer is hired
by relatives of an individual, who has joined some form of
cult, in order to break them free (usually by kidnapping)
and then subject them to psychological techniques to free
them of their association (""conditioning"") with the cult.
Less extreme deprogrammers exist, who work with
those who have voluntarily left a cult. In such cases the
deprogrammer effectively acts as an exit counselor."	EDU × 4	20	50	"Two interpersonal skills (Charm, Fast Talk,
Intimidate, or Persuade), Drive Auto, Fighting
(Brawl) or Firearms, History, Occult, Psychology,
Stealth."	Modern
Designer	"Designers work in many fields, from fashion to furniture and
most points in-between. The designer may work freelance,
for a design house or for a business designing consumer
products, processes, laws, games, graphics, and so on.

The investigator’s particular design specialty
might influence the choice of skills—adjust the skills
as appropriate."	EDU × 4	20	60	"Accounting, Art (Photography),
Art/Craft (any), Computer Use or Library
Use, Mechanical Repair, Psychology, Spot
Hidden, any one other skill as personal
specialty."	Standard
Dilettante	"Dilettantes are self-supporting, living off an inheri-
tance, trust fund, or some other source of income that

does not require them to work. Usually the dilettante
has enough money that specialist financial advisers are
needed to take care of it.

Probably well educated, though not necessarily accom-
plished in anything. Money frees the dilettante to be eccen-
tric and outspoken.

In the 1920s, some diettantes might be ""flappers"" or
""sheiks""—as per the parlance of the time—of course, one
didn't need to be rich to be a ""party"" person. In modern
times, ""hipster"" might also be an appropriate term.
The dilettante has had plenty of time to learn how to be
charming and sophisticated; what else has been done with

that free time is likely to betray the dilettante’s true charac-
ter and interests."	EDU × 2 + APP × 2	50	99	"Art/Craft (Any), Firearms, Other Language, Ride,

one interpersonal skill (Charm, Fast Talk, Intimi-
date, or Persuade), any three other skills as personal

or era specialties."	Standard
Diver	"Divers could work in the military, law enforcement, or in

civilian occupations like sponge gathering, salvage, conser-
vation, or even treasure hunting."	EDU × 2 + DEX × 2	9	30	"Diving, First Aid, Mechanical Repair, Pilot (Boat),
Science (Biology), Spot Hidden, Swim, any one
other skill as personal or era specialty."	Standard
Doctor of Medicine	"Most likely a general practitioner,
surgeon or other specialist, such as
a psychiatrist or an independent

medical researcher. Apart from per-
sonal goals, three aims—helping

patients, gaining money and
prestige, and promoting a
more rational and wiser
society—are common to the
profession.
If a general practitioner,
the doctor will be based in a rural
or neighborhood practice in or
near a small town or city. Many
physicians are employed by
large urban hospitals, allowing
them to specialize in areas like

pathology, toxicology, ortho-
pedics, and brain surgery.

Doctors may also serve as

part- or full-time medical ex-
aminers, conducting autopsies

and signing death certificates
for the city, county, or state.
In the U.S., physicians are
licensed by individual states,
most requiring a minimum
of two years’ attendance
at an accredited medical

school. These require-
ments, however, are but a relatively recent development.

During the 1920s, many older physicians first obtained their
licenses long before such strict regulations were in effect,
despite failing to have ever attended medical school."	EDU x 4	30	80	"First Aid, Medicine, Other Language (Latin),
Psychology, Science (Biology and Pharmacy), any
two other skills as academic or personal specialties."	Standard
Drifter	"As opposed to someone who is poverty-stricken, the drifter’s
wandering life is chosen, perhaps compensating for a social,
philosophical, or economic lack, or perhaps taken due to a
desire to break free of societal constraints.
The drifter takes jobs, sometimes for days or months,
however he or she is disposed to solve problems with the
answer of mobility and isolation, not comfort and intimacy.
The life of the road might seem especially American, but
the same sort of life is chosen wherever travel itself is not
systematically dangerous."	EDU × 2 + (APP× 2 or DEX × 2 or STR × 2)	0	5	"Climb, Jump, Listen, Navigate, one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), Stealth,
any two other skills as personal or era specialties."	Standard
Driver	"Professional drivers may work for a company, private indi-
vidual, or possibly have their own cab or rig."	EDU × 2 + (DEX × 2 or STR × 2)	9	20	"Accounting, Drive Auto, Listen, one interpersonal
skill (Charm, Fast Talk, Intimidate, or Persuade),
Mechanical Repair, Navigate, Psychology, any one
other skill as personal or era specialty."	Standard
Chauffeur	"A chauffeur is either directly employed by an individ-
ual or firm, or works for an agency that hires both car and

chauffeur out for single engagements or on a retainer basis."	EDU × 2 + DEX × 2	10	40	"Drive Auto, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Listen, Mechanical
Repair, Navigate, Spot Hidden, any one other skill as
a personal or era specialty."	Standard
Taxi Driver	"Taxi drivers may work for large or small companies, or
possibly have their own cab and license (medallion in the
U.S.). Cab companies are usually set up so that drivers rent
cabs and a dispatcher service from the company, technically
making the drivers freelance operators. Taxis are required
to be fitted with approved meters, periodically checked by
the city’s taxi board. Drivers are usually required to obtain
a special license that includes a background check by the
police detective bureau."	EDU x 2 + DEX x 2	9	30	"Accounting, Drive Auto, Electrical Repair, Fast
Talk, Mechanical Repair, Navigate, Spot Hidden, any
one other skill as a personal or era specialty."	Standard
Editor	"Editors work assigning stories to reporters, writing newspaper
and magazine editorials, dealing with crises, and meeting
deadlines. Occasionally they edit. Large newspapers have
many editors, including managing editors who are more
involved with business operations than news. Other editors
specialize in fashion, sports, or some other area. Small newspapers
may have only a single editor who, in fact, may also
be the owner as well as the only full-time employee."	EDU × 4	10	30	"Accounting, History, Own Language, two interpersonal
skills (Charm, Fast Talk, Intimidate, or
Persuade), Psychology, Spot Hidden, any one other
skill as personal or era specialty."	Standard
Elected Official	"Popularly elected officials enjoy prestige commensurate
with their position. Small-town mayors and township
supervisors find their influence extends little beyond their
municipality’s borders. Often these jobs are part-time,
paying but small compensation. The mayors of big cities
are well paid, however, often ruling their cities like little
kingdoms and wielding more influence and power than the
governor of their respective state.
Local Representatives and Senators elected to state
houses enjoy a fair amount of respect, particularly with the
business community and often at a statewide level.
Governors are responsible for entire states and have
connections across the country.
Federal positions carry the most clout. States send a
number of Representatives to Congress based upon population
count, and the House seats over 400 members, each
elected to a two-year term. Each state, regardless of size, also
sends two Senators to Washington. Elected to six-year terms
and numbering less than a hundred, Senators hold considerably
more influence than Representatives, and some elder
Senators receive nearly as much respect as the President.
In the United Kingdom, Members of Parliament are
popularly elected every four to five years. Representatives in
the House of Lords are unelected, receiving their memberships
through either birth or appointment."	EDU × 2 + APP × 2	50	90	"Charm, History, Intimidate, Fast Talk, Listen,
Own Language, Persuade, Psychology"	Standard
Engineer	"A specialist in mechanical or electrical devices, employed in
a civilian business or in the military, but also including inventors.
The engineer applies scientific knowledge, mathematics
and a liberal amount of ingenuity to design solutions
for technical problems."	EDU × 4	30	60	"Art/Craft (Technical Drawing), Electrical Repair,
Library Use, Mechanical Repair, Operate Heavy Machine,
Science (Engineering and Physics), any one
other skill as personal or era specialty."	Standard
Entertainer	"This occupation might include clown, singer, dancer, comedian,
juggler, musician, or anyone else who earns a living in
front of an audience. These people love to be seen, love to
show what they do best, and love the consequent applause.
Previously to the 1920s, this profession lacked respect;
however, the money that Hollywood stars can make in the
1920s changes most minds, and by the present day such a
background is generally felt to be an advantage."	EDU × 2 + APP × 2	9	70	"Art/Craft (e.g. Acting, Singer, Comedian, etc.),
Disguise, two interpersonal skills (Charm, Fast Talk,
Intimidate, or Persuade), Listen, Psychology, any
two other skills as personal or era specialties."	Standard
Explorer	"In the early twentieth century there are still unknown
areas of the world that some people can make a career of
exploring. Scientific grants, private donations, and museum
contracts, combined with newspaper, magazine, book, and
film rights often generate enough money to support the
adventurer and this exciting lifestyle.
Much of darkest Africa is still unexplored, as are great
portions of the Matto Grosso in South America, the great
Australian desert, the Sahara and Arabian deserts, and much
of the Asian interior. Although expeditions have reached both the North and South Poles, much of the surrounding
territory is still unknown"	EDU × 2 + (APP × 2 or DEX × 2 or STR × 2)	55	80	"Climb or Swim, Firearms, History, Jump, Natural
World, Navigate, Other Language, Survival."	Standard
